"","nit","en_vm_canal1","en_vm_canal2","en_vm_canal3","en_vm_canal4","en_vm_canal5","en_vm_canal6","en_vm_canal7","en_vm_canal8","en_vm_canal9","en_vm_canal10","en_vm_otros","en_tx_canal1","en_tx_canal2","en_tx_canal3","en_tx_canal4","en_tx_canal5","en_tx_canal6","en_tx_canal7","en_tx_canal8","en_tx_canal9","en_tx_canal10","en_tx_otros","sal_vm_canal5","sal_vm_canal2","sal_vm_canal8","sal_vm_otros","sal_tx_canal5","sal_tx_canal2","sal_tx_canal8","sal_tx_otros","impo_cv","expo_vt","cxp","cxc","totalinventory","pagos_pj","pagos_pn","tiene_ventas_fisicas","tiene_ventas_electronicas","recaudos_pj","recaudos_pn","rotacion_inventarios","rotacion_cxc","rotacion_cxp","ciclo_negocio","ciclo_financiero","tot_entradas_anuales","tot_entradas_mensuales","tot_salidas_anuales","tot_salidas_mensuales"
"1922","C4632086010224583894",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,2,2,2,3,2,0.527,0.473,0,0,0,0,1,2,1,2,3,2833988086.13,28.17272727,16044761.33,10.66666667
"1923","C8606338883007500",1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,2,2,6,2,1,0,1,0,0,0,4,4,3,6,6,25819627270.1,66.624999997,12263987500,14.875
"1924","C1006976985932183220",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,2,0.586,0.414,1,0,0,0,2,4,4,6,6,159053839.6,1.2,0,0
"1925","C7141289848762768724",1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,4,6,1,0.145,0.855,1,0,0,0,1,4,3,6,6,3916111782.4,21.083333333,2381931078,464.4166667
"1926","C1700738277959789516",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,2,0.524,0.476,1,0,0,0,2,1,1,3,3,1487892526.67,93.833333337,2749531293,13.08333333
"1927","C2810489715474322637",1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2,1,2,2,0.567,0.433,0,0,0,0,5,3,2,5,6,437010307.63,211.583333293,176324126.7,58.66666667
"1928","C5855168521948038065",1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0.533,0.467,0,0,0,0,2,1,4,2,1,140557148.94,9.435714286,90828743.87,23.577380956
"1929","C8343315112349231199",1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0.604,0.396,1,0,0,0,2,3,2,4,4,498685989.54,44.44047619,258719405.1,68.41666667
"1930","C2486664867568926156",1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,2,1,2,2,0.5,0.5,1,0,0,0,4,2,1,5,5,1095534123.61,216.527777815,65627703.75,38.83333333
"1931","C1014650391856840633",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,4,3,3,2,3,0.895,0.105,1,0,0,0,5,3,4,5,4,3070112830.08,391.25,1740004651.8,168.25000003
"1932","C1141579270706366398",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,1,0.25,0.75,0,0,0,0,1,3,1,3,4,768385067.65,13.833333333,462867876.7,160.25
